"yearspan","measurename","statecode","countycode","county","state","numerator","denominator","rawvalue","cilow","cihigh","measureid","chrreleaseyear","differflag","trendbreak","fips"
"2020","Uninsured adults",27,113,"Pennington","MN",482,7972,"0.06","0.05","0.07",3,2023,NA,NA,27113
"2021","Uninsured adults",27,113,"Pennington","MN",383,7928,"0.05","0.04","0.06",3,2024,NA,NA,27113
"2008","Uninsured adults",27,125,"Red Lake","MN",399,2508,"0.16","0.14","0.18",3,NA,NA,NA,27125
"2009","Uninsured adults",27,125,"Red Lake","MN",343,2462,"0.14","0.12","0.16",3,2012,1,NA,27125
"2010","Uninsured adults",27,125,"Red Lake","MN",297,2387,"0.12","0.10","0.14",3,2013,NA,NA,27125
"2011","Uninsured adults",27,125,"Red Lake","MN",341,2392,"0.14","0.12","0.16",3,2014,NA,NA,27125
"2012","Uninsured adults",27,125,"Red Lake","MN",307,2363,"0.13","0.11","0.15",3,2015,NA,NA,27125
"2013","Uninsured adults",27,125,"Red Lake","MN",310,2342,"0.13","0.11","0.15",3,2016,1,NA,27125
"2014","Uninsured adults",27,125,"Red Lake","MN",206,2291,"0.09","0.08","0.10",3,2017,NA,NA,27125
"2015","Uninsured adults",27,125,"Red Lake","MN",157,2260,"0.07","0.06","0.08",3,2018,NA,NA,27125
"2016","Uninsured adults",27,125,"Red Lake","MN",153,2236,"0.07","0.06","0.08",3,2019,NA,NA,27125
"2017","Uninsured adults",27,125,"Red Lake","MN",164,2217,"0.07","0.06","0.09",3,2020,NA,NA,27125
"2018","Uninsured adults",27,125,"Red Lake","MN",141,2191,"0.06","0.05","0.08",3,2021,NA,NA,27125
"2019","Uninsured adults",27,125,"Red Lake","MN",168,2195,"0.08","0.06","0.09",3,2022,NA,NA,27125
"2020","Uninsured adults",27,125,"Red Lake","MN",202,2177,"0.09","0.07","0.11",3,2023,NA,NA,27125
"2021","Uninsured adults",27,125,"Red Lake","MN",153,2103,"0.07","0.06","0.09",3,2024,NA,NA,27125
"2008","Uninsured adults",27,135,"Roseau","MN",1014,9771,"0.10","0.09","0.12",3,NA,NA,NA,27135
"2009","Uninsured adults",27,135,"Roseau","MN",1188,9579,"0.12","0.11","0.14",3,2012,NA,NA,27135
"2010","Uninsured adults",27,135,"Roseau","MN",1085,9228,"0.12","0.10","0.13",3,2013,NA,NA,27135
"2011","Uninsured adults",27,135,"Roseau","MN",1039,9223,"0.11","0.10","0.13",3,2014,NA,NA,27135
"2012","Uninsured adults",27,135,"Roseau","MN",921,9210,"0.10","0.09","0.11",3,2015,NA,NA,27135
"2013","Uninsured adults",27,135,"Roseau","MN",961,9266,"0.10","0.09","0.12",3,2016,1,NA,27135
"2014","Uninsured adults",27,135,"Roseau","MN",716,9323,"0.08","0.06","0.09",3,2017,NA,NA,27135
"2015","Uninsured adults",27,135,"Roseau","MN",522,9330,"0.06","0.05","0.06",3,2018,NA,NA,27135
"2016","Uninsured adults",27,135,"Roseau","MN",508,9215,"0.06","0.05","0.06",3,2019,NA,NA,27135
"2017","Uninsured adults",27,135,"Roseau","MN",608,9006,"0.07","0.06","0.08",3,2020,NA,NA,27135
"2018","Uninsured adults",27,135,"Roseau","MN",537,8818,"0.06","0.05","0.07",3,2021,NA,NA,27135
"2019","Uninsured adults",27,135,"Roseau","MN",670,8696,"0.08","0.06","0.09",3,2022,NA,NA,27135
"2020","Uninsured adults",27,135,"Roseau","MN",611,8703,"0.07","0.06","0.08",3,2023,NA,NA,27135
"2021","Uninsured adults",27,135,"Roseau","MN",555,8746,"0.06","0.05","0.07",3,2024,NA,NA,27135
"2010","Primary care physicians",0,0,"United States","US",225687,309348193,"1,370.70","","",4,2013,NA,NA,9
"2011","Primary care physicians",0,0,"United States","US",229978,311663358,"1,355.19","","",4,2014,NA,NA,9
"2012","Primary care physicians",0,0,"United States","US",233862,313998379,"1,342.67","","",4,2015,NA,NA,9
"2013","Primary care physicians",0,0,"United States","US",239500,316204908,"1,320.27","","",4,2016,NA,NA,9
"2014","Primary care physicians",0,0,"United States","US",241227,318563456,"1,320.60","","",4,2017,NA,NA,9
"2015","Primary care physicians",0,0,"United States","US",242608,320896618,"1,322.70","","",4,2018,NA,NA,9
"2016","Primary care physicians",0,0,"United States","US",243738,323127513,"1,325.72","","",4,2019,NA,NA,9
"2017","Primary care physicians",0,0,"United States","US",245809,325719178,"1,325.09","","",4,2020,NA,NA,9
"2018","Primary care physicians",0,0,"United States","US",248034,327167434,"1,319.04","","",4,2021,NA,NA,9
"2019","Primary care physicians",0,0,"United States","US",251126,328239523,"1,307.07","","",4,2022,NA,NA,9
"2020","Primary care physicians",0,0,"United States","US",251647,329484123,"1,309.31","","",4,2023,NA,NA,9
"2021","Primary care physicians",0,0,"United States","US",248730,331893745,"1,334.35","","",4,2024,NA,NA,9
"2010","Primary care physicians",27,0,"Minnesota","MN",4660,5311147,"1,139.73","","",4,2013,NA,NA,99
"2011","Primary care physicians",27,0,"Minnesota","MN",4788,5348562,"1,117.08","","",4,2014,NA,NA,99
"2012","Primary care physicians",27,0,"Minnesota","MN",4834,5380285,"1,113.01","","",4,2015,NA,NA,99
"2013","Primary care physicians",27,0,"Minnesota","MN",4940,5418521,"1,096.87","","",4,2016,NA,NA,99
"2014","Primary care physicians",27,0,"Minnesota","MN",4941,5453109,"1,103.64","","",4,2017,NA,NA,99
"2015","Primary care physicians",27,0,"Minnesota","MN",4942,5482435,"1,109.36","","",4,2018,NA,NA,99
"2016","Primary care physicians",27,0,"Minnesota","MN",4921,5519952,"1,121.71","","",4,2019,NA,NA,99
"2017","Primary care physicians",27,0,"Minnesota","MN",4988,5576606,"1,118.00","","",4,2020,NA,NA,99
"2018","Primary care physicians",27,0,"Minnesota","MN",5022,5611179,"1,117.32","","",4,2021,NA,NA,99
"2019","Primary care physicians",27,0,"Minnesota","MN",5119,5639632,"1,101.71","","",4,2022,NA,NA,99
"2020","Primary care physicians",27,0,"Minnesota","MN",5098,5657342,"1,109.72","","",4,2023,NA,NA,99
"2021","Primary care physicians",27,0,"Minnesota","MN",5033,5707390,"1,133.99","","",4,2024,NA,NA,99
"2010","Primary care physicians",27,69,"Kittson","MN",0,4544,"","","",4,2013,1,NA,27069
"2011","Primary care physicians",27,69,"Kittson","MN",0,4538,"","","",4,2014,1,NA,27069
"2012","Primary care physicians",27,69,"Kittson","MN",0,4506,"","","",4,2015,1,NA,27069
"2013","Primary care physicians",27,69,"Kittson","MN",0,4490,"","","",4,2016,1,NA,27069
"2014","Primary care physicians",27,69,"Kittson","MN",0,4443,"","","",4,2017,1,NA,27069
"2015","Primary care physicians",27,69,"Kittson","MN",0,4405,"","","",4,2018,1,NA,27069
"2016","Primary care physicians",27,69,"Kittson","MN",0,4333,"","","",4,2019,1,NA,27069
"2017","Primary care physicians",27,69,"Kittson","MN",0,4250,"","","",4,2020,NA,NA,27069
"2018","Primary care physicians",27,69,"Kittson","MN",0,4248,"","","",4,2021,NA,NA,27069
"2019","Primary care physicians",27,69,"Kittson","MN",0,4298,"","","",4,2022,NA,NA,27069
"2020","Primary care physicians",27,69,"Kittson","MN",0,4214,"","","",4,2023,NA,NA,27069
"2021","Primary care physicians",27,69,"Kittson","MN",0,4146,"","","",4,2024,NA,NA,27069
"2010","Primary care physicians",27,89,"Marshall","MN",1,9437,"9,437.00","","",4,2013,1,NA,27089
"2011","Primary care physicians",27,89,"Marshall","MN",0,9473,"","","",4,2014,1,NA,27089
"2012","Primary care physicians",27,89,"Marshall","MN",1,9468,"9,468.00","","",4,2015,1,NA,27089
"2013","Primary care physicians",27,89,"Marshall","MN",0,9437,"","","",4,2016,1,NA,27089
"2014","Primary care physicians",27,89,"Marshall","MN",0,9410,"","","",4,2017,1,NA,27089
"2015","Primary care physicians",27,89,"Marshall","MN",0,9388,"","","",4,2018,1,NA,27089
"2016","Primary care physicians",27,89,"Marshall","MN",0,9324,"","","",4,2019,1,NA,27089
"2017","Primary care physicians",27,89,"Marshall","MN",1,9356,"9,356.00","","",4,2020,NA,NA,27089
"2018","Primary care physicians",27,89,"Marshall","MN",1,9390,"9,390.00","","",4,2021,NA,NA,27089
"2019","Primary care physicians",27,89,"Marshall","MN",1,9336,"9,336.00","","",4,2022,NA,NA,27089
"2020","Primary care physicians",27,89,"Marshall","MN",1,9321,"9,321.00","","",4,2023,NA,NA,27089
"2021","Primary care physicians",27,89,"Marshall","MN",1,8988,"8,988.00","","",4,2024,NA,NA,27089
"2010","Primary care physicians",27,113,"Pennington","MN",12,13962,"1,163.50","","",4,2013,1,NA,27113
"2011","Primary care physicians",27,113,"Pennington","MN",11,14046,"1,276.91","","",4,2014,1,NA,27113
"2012","Primary care physicians",27,113,"Pennington","MN",11,14091,"1,281.00","","",4,2015,1,NA,27113
"2013","Primary care physicians",27,113,"Pennington","MN",10,14120,"1,412.00","","",4,2016,1,NA,27113
"2014","Primary care physicians",27,113,"Pennington","MN",8,14082,"1,760.25","","",4,2017,1,NA,27113
"2015","Primary care physicians",27,113,"Pennington","MN",10,14253,"1,425.30","","",4,2018,1,NA,27113
"2016","Primary care physicians",27,113,"Pennington","MN",10,14235,"1,423.50","","",4,2019,1,NA,27113
"2017","Primary care physicians",27,113,"Pennington","MN",9,14238,"1,582.00","","",4,2020,NA,NA,27113
"2018","Primary care physicians",27,113,"Pennington","MN",9,14178,"1,575.33","","",4,2021,NA,NA,27113
"2019","Primary care physicians",27,113,"Pennington","MN",10,14119,"1,411.90","","",4,2022,NA,NA,27113
"2020","Primary care physicians",27,113,"Pennington","MN",10,13874,"1,387.40","","",4,2023,NA,NA,27113
"2021","Primary care physicians",27,113,"Pennington","MN",11,13780,"1,252.73","","",4,2024,NA,NA,27113
"2010","Primary care physicians",27,125,"Red Lake","MN",0,4076,"","","",4,2013,1,NA,27125
"2011","Primary care physicians",27,125,"Red Lake","MN",0,4107,"","","",4,2014,1,NA,27125
"2012","Primary care physicians",27,125,"Red Lake","MN",0,4083,"","","",4,2015,1,NA,27125
"2013","Primary care physicians",27,125,"Red Lake","MN",0,4055,"","","",4,2016,1,NA,27125
"2014","Primary care physicians",27,125,"Red Lake","MN",0,4016,"","","",4,2017,1,NA,27125
"2015","Primary care physicians",27,125,"Red Lake","MN",0,4049,"","","",4,2018,1,NA,27125
"2016","Primary care physicians",27,125,"Red Lake","MN",0,4007,"","","",4,2019,1,NA,27125
"2017","Primary care physicians",27,125,"Red Lake","MN",0,4030,"","","",4,2020,NA,NA,27125
"2018","Primary care physicians",27,125,"Red Lake","MN",1,3999,"3,999.00","","",4,2021,NA,NA,27125
"2019","Primary care physicians",27,125,"Red Lake","MN",0,4055,"","","",4,2022,NA,NA,27125
"2020","Primary care physicians",27,125,"Red Lake","MN",0,4046,"","","",4,2023,NA,NA,27125
"2021","Primary care physicians",27,125,"Red Lake","MN",0,3933,"","","",4,2024,NA,NA,27125
"2010","Primary care physicians",27,135,"Roseau","MN",10,15571,"1,557.10","","",4,2013,1,NA,27135
"2011","Primary care physicians",27,135,"Roseau","MN",11,15523,"1,411.18","","",4,2014,1,NA,27135
"2012","Primary care physicians",27,135,"Roseau","MN",9,15503,"1,722.56","","",4,2015,1,NA,27135
"2013","Primary care physicians",27,135,"Roseau","MN",9,15523,"1,724.78","","",4,2016,1,NA,27135
"2014","Primary care physicians",27,135,"Roseau","MN",8,15712,"1,964.00","","",4,2017,1,NA,27135
"2015","Primary care physicians",27,135,"Roseau","MN",7,15679,"2,239.86","","",4,2018,1,NA,27135
"2016","Primary care physicians",27,135,"Roseau","MN",9,15626,"1,736.22","","",4,2019,1,NA,27135
"2017","Primary care physicians",27,135,"Roseau","MN",8,15327,"1,915.88","","",4,2020,NA,NA,27135
"2018","Primary care physicians",27,135,"Roseau","MN",9,15150,"1,683.33","","",4,2021,NA,NA,27135
"2019","Primary care physicians",27,135,"Roseau","MN",10,15165,"1,516.50","","",4,2022,NA,NA,27135
"2020","Primary care physicians",27,135,"Roseau","MN",10,15117,"1,511.70","","",4,2023,NA,NA,27135
"2021","Primary care physicians",27,135,"Roseau","MN",8,15258,"1,907.25","","",4,2024,NA,NA,27135
"2012","Preventable hospital stays",0,0,"United States","US",NA,NA,"4,863.00","","",5,NA,NA,NA,9
"2013","Preventable hospital stays",0,0,"United States","US",NA,NA,"4,583.00","","",5,NA,NA,NA,9
"2014","Preventable hospital stays",0,0,"United States","US",NA,NA,"4,358.00","","",5,NA,NA,NA,9
"2015","Preventable hospital stays",0,0,"United States","US",NA,NA,"4,040.00","","",5,NA,NA,NA,9
"2016","Preventable hospital stays",0,0,"United States","US",NA,NA,"4,447.00","","",5,2019,NA,NA,9
"2017","Preventable hospital stays",0,0,"United States","US",NA,NA,"4,475.00","","",5,2020,NA,NA,9
"2018","Preventable hospital stays",0,0,"United States","US",NA,NA,"4,236.00","","",5,2021,NA,NA,9
"2019","Preventable hospital stays",0,0,"United States","US",NA,NA,"3,767.00","","",5,2022,NA,NA,9
"2020","Preventable hospital stays",0,0,"United States","US",NA,NA,"2,809.00","","",5,2023,NA,NA,9
"2021","Preventable hospital stays",0,0,"United States","US",NA,NA,"2,681.00","","",5,2024,NA,NA,9
"2012","Preventable hospital stays",27,0,"Minnesota","MN",NA,NA,"5,132.00","","",5,NA,NA,NA,99
"2013","Preventable hospital stays",27,0,"Minnesota","MN",NA,NA,"5,194.00","","",5,NA,NA,NA,99
"2014","Preventable hospital stays",27,0,"Minnesota","MN",NA,NA,"5,045.00","","",5,NA,NA,NA,99
"2015","Preventable hospital stays",27,0,"Minnesota","MN",NA,NA,"4,866.00","","",5,NA,NA,NA,99
"2016","Preventable hospital stays",27,0,"Minnesota","MN",NA,NA,"5,703.00","","",5,2019,NA,NA,99
"2017","Preventable hospital stays",27,0,"Minnesota","MN",NA,NA,"6,015.00","","",5,2020,NA,NA,99
"2018","Preventable hospital stays",27,0,"Minnesota","MN",NA,NA,"5,826.00","","",5,2021,NA,NA,99
"2019","Preventable hospital stays",27,0,"Minnesota","MN",NA,NA,"3,073.00","","",5,2022,NA,NA,99
"2020","Preventable hospital stays",27,0,"Minnesota","MN",NA,NA,"2,323.00","","",5,2023,NA,NA,99
"2021","Preventable hospital stays",27,0,"Minnesota","MN",NA,NA,"2,225.00","","",5,2024,NA,NA,99
"2012","Preventable hospital stays",27,69,"Kittson","MN",NA,NA,"5,164.00","","",5,NA,NA,NA,27069
"2013","Preventable hospital stays",27,69,"Kittson","MN",NA,NA,"6,492.00","","",5,NA,NA,NA,27069
"2014","Preventable hospital stays",27,69,"Kittson","MN",NA,NA,"5,406.00","","",5,NA,NA,NA,27069
"2015","Preventable hospital stays",27,69,"Kittson","MN",NA,NA,"7,168.00","","",5,NA,NA,NA,27069
"2016","Preventable hospital stays",27,69,"Kittson","MN",NA,NA,"10,223.00","","",5,2019,NA,NA,27069
"2017","Preventable hospital stays",27,69,"Kittson","MN",NA,NA,"11,858.00","","",5,2020,NA,NA,27069
"2018","Preventable hospital stays",27,69,"Kittson","MN",NA,NA,"8,354.00","","",5,2021,NA,NA,27069
"2019","Preventable hospital stays",27,69,"Kittson","MN",NA,NA,"2,855.00","","",5,2022,NA,NA,27069
"2020","Preventable hospital stays",27,69,"Kittson","MN",NA,NA,"841.00","","",5,2023,NA,NA,27069
"2021","Preventable hospital stays",27,69,"Kittson","MN",NA,NA,"783.00","","",5,2024,NA,NA,27069
"2012","Preventable hospital stays",27,89,"Marshall","MN",NA,NA,"4,277.00","","",5,NA,NA,NA,27089
"2013","Preventable hospital stays",27,89,"Marshall","MN",NA,NA,"6,172.00","","",5,NA,NA,NA,27089
"2014","Preventable hospital stays",27,89,"Marshall","MN",NA,NA,"6,573.00","","",5,NA,NA,NA,27089
"2015","Preventable hospital stays",27,89,"Marshall","MN",NA,NA,"5,305.00","","",5,NA,NA,NA,27089
"2016","Preventable hospital stays",27,89,"Marshall","MN",NA,NA,"6,078.00","","",5,2019,NA,NA,27089
"2017","Preventable hospital stays",27,89,"Marshall","MN",NA,NA,"6,207.00","","",5,2020,NA,NA,27089
"2018","Preventable hospital stays",27,89,"Marshall","MN",NA,NA,"6,356.00","","",5,2021,NA,NA,27089
"2019","Preventable hospital stays",27,89,"Marshall","MN",NA,NA,"2,649.00","","",5,2022,NA,NA,27089
"2020","Preventable hospital stays",27,89,"Marshall","MN",NA,NA,"2,270.00","","",5,2023,NA,NA,27089
"2021","Preventable hospital stays",27,89,"Marshall","MN",NA,NA,"1,712.00","","",5,2024,NA,NA,27089
"2012","Preventable hospital stays",27,113,"Pennington","MN",NA,NA,"5,460.00","","",5,NA,NA,NA,27113
"2013","Preventable hospital stays",27,113,"Pennington","MN",NA,NA,"4,930.00","","",5,NA,NA,NA,27113
"2014","Preventable hospital stays",27,113,"Pennington","MN",NA,NA,"4,764.00","","",5,NA,NA,NA,27113
"2015","Preventable hospital stays",27,113,"Pennington","MN",NA,NA,"3,647.00","","",5,NA,NA,NA,27113
"2016","Preventable hospital stays",27,113,"Pennington","MN",NA,NA,"4,633.00","","",5,2019,NA,NA,27113
"2017","Preventable hospital stays",27,113,"Pennington","MN",NA,NA,"4,517.00","","",5,2020,NA,NA,27113
"2018","Preventable hospital stays",27,113,"Pennington","MN",NA,NA,"5,123.00","","",5,2021,NA,NA,27113
"2019","Preventable hospital stays",27,113,"Pennington","MN",NA,NA,"1,975.00","","",5,2022,NA,NA,27113
"2020","Preventable hospital stays",27,113,"Pennington","MN",NA,NA,"902.00","","",5,2023,NA,NA,27113
"2021","Preventable hospital stays",27,113,"Pennington","MN",NA,NA,"896.00","","",5,2024,NA,NA,27113
"2012","Preventable hospital stays",27,125,"Red Lake","MN",NA,NA,"10,402.00","","",5,NA,NA,NA,27125
"2013","Preventable hospital stays",27,125,"Red Lake","MN",NA,NA,"10,952.00","","",5,NA,NA,NA,27125
"2014","Preventable hospital stays",27,125,"Red Lake","MN",NA,NA,"8,419.00","","",5,NA,NA,NA,27125
"2015","Preventable hospital stays",27,125,"Red Lake","MN",NA,NA,"5,872.00","","",5,NA,NA,NA,27125
"2016","Preventable hospital stays",27,125,"Red Lake","MN",NA,NA,"9,283.00","","",5,2019,NA,NA,27125
"2017","Preventable hospital stays",27,125,"Red Lake","MN",NA,NA,"7,477.00","","",5,2020,NA,NA,27125
"2018","Preventable hospital stays",27,125,"Red Lake","MN",NA,NA,"4,149.00","","",5,2021,NA,NA,27125
"2019","Preventable hospital stays",27,125,"Red Lake","MN",NA,NA,"1,434.00","","",5,2022,NA,NA,27125
"2020","Preventable hospital stays",27,125,"Red Lake","MN",NA,NA,"620.00","","",5,2023,NA,NA,27125
"2021","Preventable hospital stays",27,125,"Red Lake","MN",NA,NA,"1,162.00","","",5,2024,NA,NA,27125
"2012","Preventable hospital stays",27,135,"Roseau","MN",NA,NA,"8,361.00","","",5,NA,NA,NA,27135
"2013","Preventable hospital stays",27,135,"Roseau","MN",NA,NA,"8,032.00","","",5,NA,NA,NA,27135
"2014","Preventable hospital stays",27,135,"Roseau","MN",NA,NA,"9,685.00","","",5,NA,NA,NA,27135
"2015","Preventable hospital stays",27,135,"Roseau","MN",NA,NA,"8,046.00","","",5,NA,NA,NA,27135
"2016","Preventable hospital stays",27,135,"Roseau","MN",NA,NA,"9,253.00","","",5,2019,NA,NA,27135
"2017","Preventable hospital stays",27,135,"Roseau","MN",NA,NA,"11,923.00","","",5,2020,NA,NA,27135
"2018","Preventable hospital stays",27,135,"Roseau","MN",NA,NA,"9,799.00","","",5,2021,NA,NA,27135
"2019","Preventable hospital stays",27,135,"Roseau","MN",NA,NA,"2,220.00","","",5,2022,NA,NA,27135
"2020","Preventable hospital stays",27,135,"Roseau","MN",NA,NA,"2,165.00","","",5,2023,NA,NA,27135
"2021","Preventable hospital stays",27,135,"Roseau","MN",NA,NA,"1,705.00","","",5,2024,NA,NA,27135
"2002","Unemployment rate",0,0,"United States","US",8545537,146160908,"0.06","","",23,NA,NA,NA,9
"2003","Unemployment rate",0,0,"United States","US",8876839,147005970,"0.06","","",23,NA,NA,NA,9
"2004","Unemployment rate",0,0,"United States","US",8253480,148072054,"0.06","","",23,NA,NA,NA,9
"2005","Unemployment rate",0,0,"United States","US",7706632,149390851,"0.05","","",23,NA,NA,NA,9
"2006","Unemployment rate",0,0,"United States","US",7110621,151643612,"0.05","","",23,NA,NA,NA,9
"2007","Unemployment rate",0,0,"United States","US",7190133,153578649,"0.05","","",23,NA,NA,NA,9
"2008","Unemployment rate",0,0,"United States","US",9059301,155107229,"0.06","","",23,2010,NA,NA,9
"2009","Unemployment rate",0,0,"United States","US",14430349,155127066,"0.09","","",23,2011,NA,NA,9
"2010","Unemployment rate",0,0,"United States","US",15070190,155539710,"0.10","","",23,2012,NA,1,9
"2011","Unemployment rate",0,0,"United States","US",14035614,155829711,"0.09","","",23,2013,NA,NA,9
"2012","Unemployment rate",0,0,"United States","US",12698862,156391735,"0.08","","",23,2014,NA,NA,9
"2013","Unemployment rate",0,0,"United States","US",11644257,156785419,"0.07","","",23,2015,NA,NA,9
"2014","Unemployment rate",0,0,"United States","US",9795069,157364863,"0.06","","",23,2016,NA,NA,9
"2015","Unemployment rate",0,0,"United States","US",8303325,157259320,"0.05","","",23,2017,NA,NA,9
"2016","Unemployment rate",0,0,"United States","US",7729204,158741980,"0.05","","",23,2018,NA,NA,9
"2017","Unemployment rate",0,0,"United States","US",6994555,160588786,"0.04","","",23,2019,NA,NA,9
"2018","Unemployment rate",0,0,"United States","US",6296445,161640488,"0.04","","",23,2020,NA,NA,9
"2019","Unemployment rate",0,0,"United States","US",5984808,163100055,"0.04","","",23,2021,NA,NA,9
"2020","Unemployment rate",0,0,"United States","US",12933831,160611339,"0.08","","",23,2022,NA,NA,9
"2021","Unemployment rate",0,0,"United States","US",8658797,161758594,"0.05","","",23,2023,NA,NA,9
"2022","Unemployment rate",0,0,"United States","US",6014764,164781913,"0.04","","",23,2024,NA,NA,9
"2002","Unemployment rate",27,0,"Minnesota","MN",128524,2859611,"0.04","","",23,NA,NA,NA,99
"2003","Unemployment rate",27,0,"Minnesota","MN",140381,2874672,"0.05","","",23,NA,NA,NA,99
"2004","Unemployment rate",27,0,"Minnesota","MN",134818,2880439,"0.05","","",23,NA,NA,NA,99
"2005","Unemployment rate",27,0,"Minnesota","MN",117038,2879775,"0.04","","",23,NA,NA,NA,99
"2006","Unemployment rate",27,0,"Minnesota","MN",115719,2887839,"0.04","","",23,NA,NA,NA,99
"2007","Unemployment rate",27,0,"Minnesota","MN",132690,2906398,"0.05","","",23,NA,NA,NA,99
"2008","Unemployment rate",27,0,"Minnesota","MN",158751,2925088,"0.05","","",23,2010,NA,NA,99
"2009","Unemployment rate",27,0,"Minnesota","MN",228554,2941981,"0.08","","",23,2011,NA,NA,99
"2010","Unemployment rate",27,0,"Minnesota","MN",217608,2938806,"0.07","","",23,2012,NA,1,99
"2011","Unemployment rate",27,0,"Minnesota","MN",190793,2944341,"0.06","","",23,2013,NA,NA,99
"2012","Unemployment rate",27,0,"Minnesota","MN",165093,2954956,"0.06","","",23,2014,NA,NA,99
"2013","Unemployment rate",27,0,"Minnesota","MN",146431,2965683,"0.05","","",23,2015,NA,NA,99
"2014","Unemployment rate",27,0,"Minnesota","MN",121627,2974105,"0.04","","",23,2016,NA,NA,99
"2015","Unemployment rate",27,0,"Minnesota","MN",111506,3010372,"0.04","","",23,2017,NA,NA,99
"2016","Unemployment rate",27,0,"Minnesota","MN",117046,3001146,"0.04","","",23,2018,NA,NA,99
"2017","Unemployment rate",27,0,"Minnesota","MN",105768,3063608,"0.03","","",23,2019,NA,NA,99
"2018","Unemployment rate",27,0,"Minnesota","MN",89340,3070229,"0.03","","",23,2020,NA,NA,99
"2019","Unemployment rate",27,0,"Minnesota","MN",100496,3109661,"0.03","","",23,2021,NA,NA,99
"2020","Unemployment rate",27,0,"Minnesota","MN",191143,3094711,"0.06","","",23,2022,NA,NA,99
"2021","Unemployment rate",27,0,"Minnesota","MN",102968,3021361,"0.03","","",23,2023,NA,NA,99
"2022","Unemployment rate",27,0,"Minnesota","MN",82583,3077508,"0.03","","",23,2024,NA,NA,99
"2002","Unemployment rate",27,69,"Kittson","MN",155,2625,"0.06","","",23,NA,NA,NA,27069
"2003","Unemployment rate",27,69,"Kittson","MN",190,2537,"0.07","","",23,NA,NA,NA,27069
"2004","Unemployment rate",27,69,"Kittson","MN",180,2690,"0.07","","",23,NA,NA,NA,27069
"2005","Unemployment rate",27,69,"Kittson","MN",135,2575,"0.05","","",23,NA,NA,NA,27069
"2006","Unemployment rate",27,69,"Kittson","MN",140,2582,"0.05","","",23,NA,NA,NA,27069
"2007","Unemployment rate",27,69,"Kittson","MN",142,2486,"0.06","","",23,NA,NA,NA,27069
"2008","Unemployment rate",27,69,"Kittson","MN",140,2477,"0.06","","",23,2010,1,NA,27069
"2009","Unemployment rate",27,69,"Kittson","MN",181,2523,"0.07","","",23,2011,1,NA,27069
"2010","Unemployment rate",27,69,"Kittson","MN",194,2570,"0.08","","",23,2012,1,1,27069
"2011","Unemployment rate",27,69,"Kittson","MN",177,2595,"0.07","","",23,2013,1,NA,27069
"2012","Unemployment rate",27,69,"Kittson","MN",149,2564,"0.06","","",23,2014,1,NA,27069
"2013","Unemployment rate",27,69,"Kittson","MN",144,2416,"0.06","","",23,2015,1,NA,27069
"2014","Unemployment rate",27,69,"Kittson","MN",115,2388,"0.05","","",23,2016,NA,NA,27069
"2015","Unemployment rate",27,69,"Kittson","MN",115,2478,"0.05","","",23,2017,NA,NA,27069
"2016","Unemployment rate",27,69,"Kittson","MN",112,2396,"0.05","","",23,2018,NA,NA,27069
"2017","Unemployment rate",27,69,"Kittson","MN",90,2381,"0.04","","",23,2019,NA,NA,27069
"2018","Unemployment rate",27,69,"Kittson","MN",69,2346,"0.03","","",23,2020,NA,NA,27069
"2019","Unemployment rate",27,69,"Kittson","MN",87,2386,"0.04","","",23,2021,NA,NA,27069
"2020","Unemployment rate",27,69,"Kittson","MN",111,2411,"0.05","","",23,2022,NA,NA,27069
"2021","Unemployment rate",27,69,"Kittson","MN",64,2223,"0.03","","",23,2023,NA,NA,27069
"2022","Unemployment rate",27,69,"Kittson","MN",63,2228,"0.03","","",23,2024,NA,NA,27069
"2002","Unemployment rate",27,89,"Marshall","MN",407,5275,"0.08","","",23,NA,NA,NA,27089
"2003","Unemployment rate",27,89,"Marshall","MN",433,5239,"0.08","","",23,NA,NA,NA,27089
"2004","Unemployment rate",27,89,"Marshall","MN",415,5400,"0.08","","",23,NA,NA,NA,27089
"2005","Unemployment rate",27,89,"Marshall","MN",374,5289,"0.07","","",23,NA,NA,NA,27089
"2006","Unemployment rate",27,89,"Marshall","MN",362,5296,"0.07","","",23,NA,NA,NA,27089
"2007","Unemployment rate",27,89,"Marshall","MN",413,5172,"0.08","","",23,NA,NA,NA,27089
"2008","Unemployment rate",27,89,"Marshall","MN",406,5168,"0.08","","",23,2010,1,NA,27089
"2009","Unemployment rate",27,89,"Marshall","MN",523,5350,"0.10","","",23,2011,1,NA,27089
"2010","Unemployment rate",27,89,"Marshall","MN",528,5698,"0.09","","",23,2012,1,1,27089
"2011","Unemployment rate",27,89,"Marshall","MN",481,5781,"0.08","","",23,2013,1,NA,27089
"2012","Unemployment rate",27,89,"Marshall","MN",439,5762,"0.08","","",23,2014,NA,NA,27089
"2013","Unemployment rate",27,89,"Marshall","MN",424,5580,"0.08","","",23,2015,1,NA,27089
"2014","Unemployment rate",27,89,"Marshall","MN",369,5621,"0.07","","",23,2016,NA,NA,27089
"2015","Unemployment rate",27,89,"Marshall","MN",396,5767,"0.07","","",23,2017,NA,NA,27089
"2016","Unemployment rate",27,89,"Marshall","MN",413,5606,"0.07","","",23,2018,NA,NA,27089
